Model,FinalReturn,Sharpe,MaxDrawdown
RandomForestClassifier,0.003371938535239982,0.08641708166656462,0.04539333703620263
XGBClassifier_fold5,-0.010656339119863856,-0.1668723013705316,0.04364936953810128
LogisticRegression,-0.008750076104321103,-0.23140981356196133,0.03626949242245381
XGBClassifier_fold4,-0.04289930183682367,-0.6650532293102983,0.07227073795933248
XGBClassifier_fold3,-0.01835247379780036,-0.26160058449548507,0.06823942382443493
XGBClassifier_fold2,0.006733471404425817,0.13903837264994506,0.07942026432656779
XGBClassifier_fold1,0.010752611249317257,0.20759849607801048,0.07362183587894455
